DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC,20190517211208.000000000,20190517210533.000000000,20190517210016.000000000,20190517205716.000000000,20190517205837.000000000,20190517215840.000000000,DF-19-006806,240623,C,D9,306861,,1
FIRE/DOMESTIC,20190517212322.000000000,20190517210729.000000000,20190517205919.000000000,20190517205013.000000000,20190517205742.000000000,20190517213810.000000000,DF-19-006803,225676,B,D7,309544,,1
FIRE/DOMESTIC,20190517202926.000000000,20190517200700.000000000,20190517200145.000000000,20190517195837.000000000,20190517200028.000000000,20190517205742.000000000,DF-19-006798,234278,C,D3,310150,,1
FIRE/UNDERGROUND,20190517150730.000000000,20190517133244.000000000,20190517132331.000000000,20190517132031.000000000,20190517132241.000000000,20190517160348.000000000,DF-19-006773,227685,A,D8,317262,,1
FIRE/DOMESTIC,20200511193621.000000000,20200511175826.000000000,20200511175607.000000000,20200511175333.000000000,20200511175445.000000000,20200511203133.000000000,DF-20-005776,232444,B,D2,314959,,1
FIRE/DOMESTIC,20200510233203.000000000,20200510213846.000000000,20200510213619.000000000,20200510213258.000000000,20200510213443.000000000,20200511002843.000000000,DF-20-005746,235684,D,D4,317437,,1
FIRE/DOMESTIC,20200510042358.000000000,20200510035613.000000000,20200510035100.000000000,20200510034701.000000000,20200510034914.000000000,20200510042815.000000000,DF-20-005710,228994,A,D8,317828,,1
FIRE/DOMESTIC,20200509214847.000000000,20200509213833.000000000,20200509213346.000000000,20200509213032.000000000,20200509213211.000000000,20200509224137.000000000,DF-20-005694,236048,D,D4,321051,,1
FIRE/DOMESTIC PERSONS REPORTED,20200509183456.000000000,20200509181901.000000000,20200509181631.000000000,20200509181229.000000000,20200509181505.000000000,20200509185432.000000000,DF-20-005681,233789,E,D10,315142,,1
FIRE/DOMESTIC PERSONS REPORTED,20200509172610.000000000,20200509171121.000000000,20200509171028.000000000,20200509170815.000000000,20200509170840.000000000,20200509173639.000000000,DF-20-005679,242080,C,D9,307570,,1
FIRE/DOMESTIC,20200509001803.000000000,20200509000450.000000000,20200509000048.000000000,20200508235904.000000000,20200509000019.000000000,20200509002224.000000000,DF-20-005655,231963,B,D2,315669,,1
FIRE/DOMESTIC,20200508191214.000000000,20200508185341.000000000,20200508184848.000000000,20200508184505.000000000,20200508184618.000000000,20200508194817.000000000,DF-20-005633,229864,B,D7,312661,,1
FIRE/DOMESTIC,20200508185556.000000000,20200508184351.000000000,20200508183815.000000000,20200508183447.000000000,20200508183643.000000000,20200508190547.000000000,DF-20-005630,239693,D,D6,318301,,1
FIRE/DOMESTIC,20200508165641.000000000,20200508164815.000000000,20200508164121.000000000,20200508163840.000000000,20200508164016.000000000,20200508170314.000000000,DF-20-005624,239616,C,D9,304624,,1
FIRE/DOMESTIC,20200508132951.000000000,20200508124943.000000000,20200508124451.000000000,20200508124211.000000000,20200508124316.000000000,20200508134256.000000000,DF-20-005614,233375,B,D2,310747,,1
FIRE/DOMESTIC,20200507184214.000000000,20200507183405.000000000,20200507182823.000000000,20200507182543.000000000,20200507182721.000000000,20200507203254.000000000,DF-20-005599,227701,B,D7,306374,,1
FIRE/DOMESTIC,20200506025023.000000000,20200506024001.000000000,20200506023113.000000000,20200506022504.000000000,20200506022900.000000000,20200506025443.000000000,DF-20-005545,231549,A,D1,315247,,1
FIRE/DOMESTIC PERSONS REPORTED,20200505215418.000000000,,20200505215139.000000000,20200505214730.000000000,20200505214914.000000000,20200505232220.000000000,DF-20-005534,234059,C,D3,314295,,1
FIRE/DOMESTIC,20200505022808.000000000,,20200505014115.000000000,20200505013742.000000000,20200505013857.000000000,20200505023931.000000000,DF-20-005489,264031,F,D23,318958,,1
FIRE/DOMESTIC,20200504211520.000000000,20200504205946.000000000,20200504205845.000000000,20200504205017.000000000,20200504205417.000000000,20200504212218.000000000,DF-20-005474,234288,C,D3,315142,,1
FIRE/DOMESTIC,20200504202708.000000000,20200504201131.000000000,20200504200828.000000000,20200504200520.000000000,20200504200708.000000000,20200504204640.000000000,DF-20-005466,234764,C,D3,315183,,1
FIRE/DOMESTIC PERSONS REPORTED,20200504162133.000000000,20200504161538.000000000,20200504160802.000000000,20200504160537.000000000,20200504160704.000000000,20200504163823.000000000,DF-20-005454,241002,D,D6,318779,,1
FIRE/DOMESTIC,20200504031344.000000000,20200504030600.000000000,20200504030234.000000000,20200504025758.000000000,20200504030030.000000000,20200504032154.000000000,DF-20-005444,233714,B,D2,313844,,1
FIRE/DOMESTIC,20200504023330.000000000,20200504022747.000000000,20200504022016.000000000,20200504021352.000000000,20200504021751.000000000,20200504031912.000000000,DF-20-005441,223027,A,D12,325410,,1
FIRE/DOMESTIC,20200503235129.000000000,20200503234408.000000000,20200503233748.000000000,20200503233338.000000000,20200503233629.000000000,20200504000814.000000000,DF-20-005434,223739,A,D12,325282,,1
FIRE/DOMESTIC PERSONS REPORTED,20200503171536.000000000,20200503165106.000000000,20200503164432.000000000,20200503163903.000000000,20200503164302.000000000,20200503174525.000000000,DF-20-005420,243307,F,D13,316753,,1
FIRE/DOMESTIC,20200503041111.000000000,20200503040543.000000000,20200503035823.000000000,20200503034818.000000000,20200503035551.000000000,20200503042451.000000000,DF-20-005409,223074,A,D12,325278,,1
FIRE/DOMESTIC,20200503002516.000000000,20200503000944.000000000,20200503000355.000000000,20200502235937.000000000,20200503000215.000000000,20200503002517.000000000,DF-20-005402,233345,B,D7,306237,,1
FIRE/DOMESTIC,20200503000944.000000000,20200502235033.000000000,20200502234509.000000000,20200502234157.000000000,20200502234340.000000000,20200503001407.000000000,DF-20-005401,234800,C,D3,313576,,1
FIRE/CARAVAN,20200502225501.000000000,20200502225107.000000000,20200502224638.000000000,20200502224427.000000000,20200502224534.000000000,20200502230305.000000000,DF-20-005395,231374,B,D7,304691,,1
FIRE/DOMESTIC,20200502152452.000000000,20200502145950.000000000,20200502145054.000000000,20200502144659.000000000,20200502144909.000000000,20200502161409.000000000,DF-20-005371,224688,A,D12,318640,,1
FIRE/CARAVAN,20190517032131.000000000,20190517015434.000000000,20190517014939.000000000,20190517014535.000000000,20190517014725.000000000,20190517033045.000000000,DF-19-006767,231374,B,D7,304691,,1
FIRE/DOMESTIC,20190516184543.000000000,20190516181218.000000000,20190516180609.000000000,20190516180153.000000000,20190516180448.000000000,20190516185359.000000000,DF-19-006734,228306,A,D12,320737,,1
FIRE/DOMESTIC,20190516120404.000000000,20190516115239.000000000,20190516114241.000000000,20190516113807.000000000,20190516114126.000000000,20190516123714.000000000,DF-19-006715,245849,F,D13,316173,,1
FIRE/UNDERGROUND,20190515235346.000000000,20190515231322.000000000,20190515230434.000000000,20190515225936.000000000,20190515230308.000000000,20190516000358.000000000,DF-19-006682,240282,D,D6,323380,,1
FIRE/DOMESTIC PERSONS REPORTED,20190515191725.000000000,20190515191153.000000000,20190515190759.000000000,20190515190438.000000000,20190515190622.000000000,20190515192626.000000000,DF-19-006671,234928,C,D3,315525,,1
FIRE/DOMESTIC PERSONS REPORTED,20190515144610.000000000,20190515143836.000000000,20190515143320.000000000,20190515143040.000000000,20190515143249.000000000,20190515165620.000000000,DF-19-006665,235575,C,D3,315393,,1
FIRE/CARAVAN,20190515125601.000000000,20190515123426.000000000,20190515122802.000000000,20190515122419.000000000,20190515122648.000000000,20190515150430.000000000,DF-19-006656,240815,F,D5,315654,,1
FIRE/DOMESTIC PERSONS REPORTED,20190514235104.000000000,20190514234010.000000000,20190514233314.000000000,20190514232957.000000000,20190514233202.000000000,20190515000130.000000000,DF-19-006637,227709,B,D7,311958,,1
FIRE/DOMESTIC,20190514212331.000000000,20190514210600.000000000,20190514205647.000000000,20190514205345.000000000,20190514205535.000000000,20190514213103.000000000,DF-19-006622,233890,B,D7,306273,,1
FIRE/DOMESTIC PERSONS REPORTED,20190514192451.000000000,20190514191756.000000000,20190514190953.000000000,20190514190619.000000000,20190514190845.000000000,20190514193710.000000000,DF-19-006615,238679,C,D9,307001,,1
FIRE/DOMESTIC,20190513194905.000000000,20190513194157.000000000,20190513193833.000000000,20190513193320.000000000,20190513193657.000000000,20190513200146.000000000,DF-19-006534,236033,C,D3,315060,,1
FIRE/DOMESTIC,20190513182905.000000000,20190513182158.000000000,20190513181810.000000000,20190513181550.000000000,20190513181739.000000000,20190513190226.000000000,DF-19-006530,233513,B,D2,314164,,1
FIRE/DOMESTIC,20190513175254.000000000,20190513174643.000000000,20190513173911.000000000,20190513173646.000000000,20190513173805.000000000,20190513180944.000000000,DF-19-006525,240250,F,D5,315000,,1
FIRE/DOMESTIC,20190513160131.000000000,20190513155017.000000000,20190513154433.000000000,20190513153744.000000000,20190513154226.000000000,20190513164721.000000000,DF-19-006520,239641,D,D6,319506,,1
FIRE/DOMESTIC,20190512234138.000000000,20190512223842.000000000,20190512223839.000000000,20190512223617.000000000,20190512223702.000000000,20190513001208.000000000,DF-19-006469,239782,D,D6,319617,,1
FIRE/DOMESTIC,20190512204604.000000000,20190512203803.000000000,20190512203246.000000000,20190512202915.000000000,20190512203136.000000000,20190512205135.000000000,DF-19-006463,240885,C,D9,306980,,1
FIRE/DOMESTIC,20190512171804.000000000,20190512170953.000000000,20190512170255.000000000,20190512165957.000000000,20190512170140.000000000,20190512174246.000000000,DF-19-006454,241154,C,D9,306412,,1
FIRE/DOMESTIC PERSONS REPORTED,20190512022523.000000000,20190512021218.000000000,20190512020705.000000000,20190512020401.000000000,20190512020447.000000000,20190512023150.000000000,DF-19-006433,239593,F,D5,315000,,1
FIRE/DOMESTIC,20190511233524.000000000,20190511230816.000000000,20190511230540.000000000,20190511230302.000000000,20190511230353.000000000,20190511234021.000000000,DF-19-006426,235669,C,D3,315888,,1
FIRE/DOMESTIC,20190511224613.000000000,20190511223228.000000000,20190511222643.000000000,20190511222342.000000000,20190511222529.000000000,20190511224621.000000000,DF-19-006424,231810,B,D7,304817,,1
FIRE/DOMESTIC,20190511215903.000000000,20190511215542.000000000,20190511215011.000000000,20190511214651.000000000,20190511214836.000000000,20190511220418.000000000,DF-19-006419,234824,D,D4,316958,,1
FIRE/DOMESTIC PERSONS REPORTED,20190511170021.000000000,20190511164436.000000000,20190511164324.000000000,20190511163806.000000000,20190511164144.000000000,20190511171018.000000000,DF-19-006405,235993,D,D4,317315,,1
FIRE/DOMESTIC,20190510162804.000000000,,20190510162403.000000000,20190510162056.000000000,20190510162253.000000000,20190510163129.000000000,DF-19-006342,226425,A,D12,321034,,1
FIRE/DOMESTIC,20190509163240.000000000,20190509162823.000000000,20190509162021.000000000,20190509161800.000000000,20190509161938.000000000,20190509165210.000000000,DF-19-006312,240025,F,D5,313795,,1
FIRE/DOMESTIC PERSONS REPORTED,20190509020638.000000000,20190509005919.000000000,20190509005538.000000000,20190509005150.000000000,20190509005326.000000000,20190509021022.000000000,DF-19-006286,235076,C,D3,315526,,1
FIRE/DOMESTIC PERSONS REPORTED,20190508233954.000000000,20190508223321.000000000,20190508223138.000000000,20190508222800.000000000,20190508223023.000000000,20190508234142.000000000,DF-19-006276,231977,B,D2,313769,,1
FIRE/DOMESTIC,20200502061400.000000000,20200502060903.000000000,20200502055923.000000000,20200502055331.000000000,20200502055652.000000000,20200502062003.000000000,DF-20-005364,226482,A,D8,316790,,1
FIRE/DOMESTIC PERSONS REPORTED,20200501175643.000000000,20200501170019.000000000,20200501165220.000000000,20200501164928.000000000,20200501165136.000000000,20200501180512.000000000,DF-20-005345,239272,D,D6,319570,,1
FIRE/DOMESTIC PERSONS REPORTED,20200501171525.000000000,20200501163223.000000000,20200501162551.000000000,20200501162246.000000000,20200501162407.000000000,20200502182702.000000000,DF-20-005344,240140,C,D9,305746,,1
FIRE/DOMESTIC PERSONS REPORTED,20200501002845.000000000,20200501002541.000000000,20200501002108.000000000,20200501001828.000000000,20200501002019.000000000,20200501003948.000000000,DF-20-005338,230045,B,D7,306437,,1
FIRE/DOMESTIC PERSONS REPORTED,20200430221857.000000000,20200430213609.000000000,20200430213031.000000000,20200430212725.000000000,20200430212918.000000000,20200501020942.000000000,DF-20-005326,239874,D,D6,319342,,1
FIRE/HIGHRISE BUILDINGS,20200430110018.000000000,20200430105355.000000000,20200430105154.000000000,20200430104548.000000000,20200430105018.000000000,20200430114056.000000000,DF-20-005315,234968,E,D10,316601,,1
FIRE/HIGHRISE BUILDINGS,20200429222117.000000000,20200429220026.000000000,20200429215408.000000000,20200429214859.000000000,20200429215215.000000000,20200429222750.000000000,DF-20-005297,234865,D,D4,317519,,1
FIRE/DOMESTIC PERSONS REPORTED,20200428195741.000000000,20200428192654.000000000,20200428191951.000000000,20200428191607.000000000,20200428191920.000000000,20200428221205.000000000,DF-20-005257,263960,F,D23,318304,,1
FIRE/DOMESTIC PERSONS REPORTED,20200428143655.000000000,20200428143216.000000000,20200428142659.000000000,20200428141915.000000000,20200428142549.000000000,20200428161820.000000000,DF-20-005250,227616,B,D7,308278,,1
FIRE/CARAVAN,20200427164808.000000000,,20200427164152.000000000,20200427163739.000000000,20200427164043.000000000,20200427175214.000000000,DF-20-005210,231374,B,D7,304691,,1
FIRE/DOMESTIC,20200303232423.000000000,20200303225957.000000000,20200303224925.000000000,20200303224545.000000000,20200303224816.000000000,20200303234121.000000000,DF-20-002835,225831,B,D7,309798,,1
FIRE/CARAVAN,20200303230618.000000000,20200303225248.000000000,20200303224659.000000000,20200303224356.000000000,20200303224515.000000000,20200303235010.000000000,DF-20-002834,233664,B,D7,305291,,1
FIRE/DOMESTIC,20200303225535.000000000,20200303211520.000000000,20200303211325.000000000,20200303211024.000000000,20200303211207.000000000,20200303230914.000000000,DF-20-002828,242234,D,D6,322868,,1
FIRE/DOMESTIC,20200303170458.000000000,20200303165824.000000000,20200303165642.000000000,20200303165313.000000000,20200303165459.000000000,20200303170944.000000000,DF-20-002812,239076,F,D5,312526,,1
FIRE/DOMESTIC,20200303151622.000000000,20200303145417.000000000,20200303144944.000000000,20200303144630.000000000,20200303144832.000000000,20200303165759.000000000,DF-20-002808,234699,E,D10,316885,,1
FIRE/DOMESTIC,20200302141918.000000000,20200302133428.000000000,20200302133354.000000000,20200302133051.000000000,20200302133217.000000000,20200302145046.000000000,DF-20-002766,239295,D,D6,321219,,1
FIRE/DOMESTIC,20200302123640.000000000,20200302122750.000000000,20200302122112.000000000,20200302121609.000000000,20200302122050.000000000,20200302131952.000000000,DF-20-002763,224777,A,D12,321412,,1
FIRE/UNDERGROUND,20200302093937.000000000,20200302092057.000000000,20200302091416.000000000,20200302091010.000000000,20200302091246.000000000,20200302100022.000000000,DF-20-002756,228448,A,D12,320500,,1
FIRE/DOMESTIC,20200302010822.000000000,20200302010612.000000000,20200302005953.000000000,20200302005523.000000000,20200302005809.000000000,20200302011831.000000000,DF-20-002750,223948,A,D12,324892,,1
FIRE/DOMESTIC,20200301222743.000000000,20200301222259.000000000,20200301221541.000000000,20200301220935.000000000,20200301221450.000000000,20200301224048.000000000,DF-20-002745,223940,A,D12,325010,,1
FIRE/DOMESTIC,20200301215857.000000000,20200301215735.000000000,20200301214808.000000000,20200301214412.000000000,20200301214632.000000000,20200301221708.000000000,DF-20-002744,240295,F,D5,315542,,1
FIRE/DOMESTIC,20200301210501.000000000,20200301205812.000000000,20200301205424.000000000,20200301205112.000000000,20200301205257.000000000,20200301210834.000000000,DF-20-002739,235268,C,D3,315992,,1
FIRE/DOMESTIC,20200301164238.000000000,20200301163931.000000000,20200301163253.000000000,20200301162721.000000000,20200301163055.000000000,20200301165117.000000000,DF-20-002722,224628,A,D12,321658,,1
